"","Unique_Image_ID","Date","Site","Archipelago","Island","Island_Site","Depth","Quadrat","Cattegory","Coral_Genus_Form","Cover"
"1","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Calcifying_algae","Calcifying_algae",1.33
"2","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Black_coral","Black_coral",1.33
"3","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Sediment_substrate","Sediment_substrate",45.33
"4","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Consolidate_substrate","Consolidate_substrate",32
"5","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Rubble","Rubble",13.33
"6","20180915_UTP_QUADRAT_SOCBOR1_120M_1.jpg","20180915","SOCBOR1","Society","Bora","1","120",1,"Sessile_Invertebrates","Sessile_Invertebrates",6.67
"7","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Calcifying_algae","Calcifying_algae",1.33
"8","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Sediment_substrate","Sediment_substrate",46.67
"9","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Consolidate_substrate","Consolidate_substrate",38.67
"10","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Rubble","Rubble",9.33
"11","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Sponges","Sponges",2.67
"12","20180915_UTP_QUADRAT_SOCBOR1_120M_2.jpg","20180915","SOCBOR1","Society","Bora","1","120",11,"Sessile_Invertebrates","Sessile_Invertebrates",1.33
"13","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Calcifying_algae","Calcifying_algae",2.67
"14","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Sediment_substrate","Sediment_substrate",60
"15","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Consolidate_substrate","Consolidate_substrate",14.67
"16","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Rubble","Rubble",17.33
"17","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Sponges","Sponges",4
"18","20180915_UTP_QUADRAT_SOCBOR1_120M_5.jpg","20180915","SOCBOR1","Society","Bora","1","120",27,"Sessile_Invertebrates","Sessile_Invertebrates",1.33
"19","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Calcifying_algae","Calcifying_algae",1.33
"20","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Gorgonia","Gorgonia",2.67
"21","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Sediment_substrate","Sediment_substrate",44
"22","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Consolidate_substrate","Consolidate_substrate",36
"23","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Rubble","Rubble",13.33
"24","20180915_UTP_QUADRAT_SOCBOR1_120M_6.jpg","20180915","SOCBOR1","Society","Bora","1","120",28,"Sponges","Sponges",2.67
"25","20180915_UTP_QUADRAT_SOCBOR1_120M_7.jpg","20180915","SOCBOR1","Society","Bora","1","120",29,"Calcifying_algae","Calcifying_algae",1.33
"26","20180915_UTP_QUADRAT_SOCBOR1_120M_7.jpg","20180915","SOCBOR1","Society","Bora","1","120",29,"Sediment_substrate","Sediment_substrate",20
"27","20180915_UTP_QUADRAT_SOCBOR1_120M_7.jpg","20180915","SOCBOR1","Society","Bora","1","120",29,"Consolidate_substrate","Consolidate_substrate",33.33
"28","20180915_UTP_QUADRAT_SOCBOR1_120M_7.jpg","20180915","SOCBOR1","Society","Bora","1","120",29,"Rubble","Rubble",37.33
"29","20180915_UTP_QUADRAT_SOCBOR1_120M_7.jpg","20180915","SOCBOR1","Society","Bora","1","120",29,"Sand","Sand",8
"30","20180915_UTP_QUADRAT_SOCBOR1_120M_8.jpg","20180915","SOCBOR1","Society","Bora","1","120",30,"Sediment_substrate","Sediment_substrate",37.33
"31","20180915_UTP_QUADRAT_SOCBOR1_120M_8.jpg","20180915","SOCBOR1","Society","Bora","1","120",30,"Consolidate_substrate","Consolidate_substrate",10.67
"32","20180915_UTP_QUADRAT_SOCBOR1_120M_8.jpg","20180915","SOCBOR1","Society","Bora","1","120",30,"Rubble","Rubble",26.67
